Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
1189	GCA_958372765.1	2802430	74	68402	60.02183819	93.29	0.67	GCA_958372765.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114065208	PRJEB63158	China	Asia	Human	gut	NA	High	yes	sp002404795
1190	GCA_037320965.1	2249850	110	32539	59.24674978	93.88	2.01	GCA_037320965.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN37827105	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp000436735
1192	GCA_934827745.1	2881316	58	90810	56.0477114	93.96	2.01	GCA_934827745.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566117	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1196	GCA_945910055.1	1821279	116	23735	57.72734436	93.4	0.84	GCA_945910055.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA110411880	PRJEB53600	China	Asia	Pig	gut	NA	High	yes	sp003516765
1197	GCA_902461805.1	2729121	54	129557	56.16093973	94.63	1.01	GCA_902461805.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA5849872	PRJEB33885	Sweden	Europe	Human	gut	NA	High	yes	sp900545925
1198	GCA_959600755.1	1985416	71	49036	57.19798773	92.89	1.34	GCA_959600755.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA114122299	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp937967235
1199	GCA_934654535.1	1964052	84	31574	60.56565712	91.7	1.34	GCA_934654535.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp905214155	SAMEA13521775	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp905214155
1201	GCA_905193075.1	2191427	29	118533	56.90388044	93.96	0.67	GCA_905193075.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA7846948	PRJEB37358	China	Asia	Human	gut	NA	High	yes	sp937967235
1202	GCA_028725405.1	2369966	205	15325	61.32379114	92.34	4.02	GCA_028725405.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN32799761	PRJNA857725	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1204	GCA_928721945.1	3312008	3	1781832	58.71383765	94.63	1.68	GCA_928721945.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA12751964	PRJEB50473	France	Europe	Human	gut	NA	High	yes	sp002404795
1209	GCA_900548105.1	2311897	115	27311	56.83358731	92.41	1.43	GCA_900548105.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA4891697	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp003516765
1210	GCA_958439925.1	2386563	52	64870	56.92567093	93.96	1.68	GCA_958439925.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA114062107	PRJEB62827	NA	NA	Cattle	gut	NA	High	yes	sp937967235
1212	GCA_022774875.1	2293581	144	21297	61.41261198	92.62	2.82	GCA_022774875.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN26525954	PRJNA629856	Canada	North America	Pig	gut	Lacombe	High	yes	sp002404795
1217	GCA_934835315.1	3023551	58	87960	55.81540422	93.96	1.17	GCA_934835315.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566509	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1220	GCA_041328005.1	3594462	5	1219320	54.94738851	94.63	1.34	GCA_041328005.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMN43071558	PRJNA1052403	China	Asia	Human	gut	Beijing	High	yes	sp937967235
1221	GCA_905207725.1	2893668	273	14924	56.37578326	91.8	0.13	GCA_905207725.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA7847471	PRJEB37358	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
1225	GCA_958428845.1	2846808	151	34162	57.89459633	91.61	0.67	GCA_958428845.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114063532	PRJEB62820	Germany	Europe	Human	gut	NA	High	yes	sp000432135
1234	GCA_945916265.1	2649476	103	45587	58.09016575	97.99	0.67	GCA_945916265.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp004555655	SAMEA110414541	PRJEB52947	France	Europe	Pig	gut	NA	High	yes	sp004555655
1236	GCA_958411915.1	2647795	154	25678	56.28600401	90.77	1.01	GCA_958411915.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114061258	PRJEB62838	NA	NA	Human	gut	NA	High	yes	sp900545925
1238	GCA_958452645.1	2829811	110	38567	59.85428002	95.97	1.36	GCA_958452645.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114064810	PRJEB63152	NA	NA	Human	gut	NA	High	yes	sp002404795
1239	GCA_004554295.1	2379421	282	11275	61.96999186	90.25	3.02	GCA_004554295.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN10183811	PRJNA494875	Canada	North America	Wild boar	gut	Edmonton	High	yes	sp002404795
1245	GCA_037327685.1	2140182	121	27791	57.21859169	92.69	0.67	GCA_037327685.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMN37827981	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp003516765
1249	GCA_900548985.1	2670539	95	46426	58.36117728	93.29	2.01	GCA_900548985.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA4891785	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp000436735
1251	GCA_958423285.1	2331180	80	43238	59.2679673	92.16	2.35	GCA_958423285.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA114064411	PRJEB62824	Sweden	Europe	Human	gut	NA	High	yes	sp000436735
1253	GCA_934646355.1	1988409	217	15177	59.90492902	90.97	0.67	GCA_934646355.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA13508058	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp000436735
1255	GCA_037294765.1	2360060	260	19501	61.23348559	91.62	1.34	GCA_037294765.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37826798	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1256	GCA_958365345.1	2632497	71	67693	58.24770171	93.96	0.67	GCA_958365345.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114064555	PRJEB62824	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
1257	GCA_934645335.1	2198360	151	22742	61.62325552	93.96	0.67	GCA_934645335.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA13486126	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp002404795
1259	GCA_900547145.1	2601825	147	28555	60.61053299	93.96	1.34	GCA_900547145.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA4891592	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp002404795
1260	GCA_934632205.1	2133155	40	82356	57.04189335	92.69	0.67	GCA_934632205.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SAMEA13494334	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp900549635
1261	GCA_958353375.1	2030634	123	26070	59.79891009	92.04	2.01	GCA_958353375.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA114062744	PRJEB62820	Germany	Europe	Human	gut	NA	High	yes	sp900548625
1262	GCA_937950595.1	2842657	85	51701	57.63386156	91.95	1.51	GCA_937950595.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA14085757	PRJEB51075	NA	NA	Human	gut	NA	High	yes	sp000436735
1264	GCA_947001665.1	2261932	203	16134	59.09611783	90.69	0.81	GCA_947001665.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA111396807	PRJEB55618	USA	North America	Human	gut	NA	High	yes	sp000432135
1266	GCA_037343265.1	2501701	112	32776	56.58302091	93.05	3.97	GCA_037343265.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMN37828252	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp900545925
1267	GCA_934630805.1	2481550	29	124623	58.50323387	93.96	0.67	GCA_934630805.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA13505315	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp000436735
1268	GCA_959600215.1	3147242	84	70277	56.08132454	94.63	0.67	GCA_959600215.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114121902	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp900545925
1273	GCA_937983695.1	3398208	165	37867	55.79125822	92.62	0.71	GCA_937983695.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA14085322	PRJEB51075	UK	Europe	Human	gut	NA	High	yes	sp900545925
1277	GCA_959021515.1	2600836	100	47104	60.75731034	93.23	1.01	GCA_959021515.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114096498	PRJEB63337	China	Asia	Human	gut	NA	High	yes	sp002404795
1278	GCA_958454015.1	2761455	51	72173	58.17650478	93.96	1.41	GCA_958454015.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA114065258	PRJEB63158	China	Asia	Human	gut	NA	High	yes	sp000436735
1282	GCA_959608265.1	2332886	117	31295	57.02683286	94.68	1.03	GCA_959608265.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA114122547	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp937967235
1283	GCA_934834505.1	3071091	68	87594	55.97578174	93.62	2.35	GCA_934834505.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566583	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1287	GCA_900760045.1	2479900	176	37852	58.7799508	93.96	1.68	GCA_900760045.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA5280169	PRJEB31003	USA	North America	Human	gut	NA	High	yes	sp900548625
1289	GCA_902803075.1	2325673	265	12102	60.54217424	92.93	2.35	GCA_902803075.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp902803075	SAMEA6152974	PRJEB31266	UK	Europe	Cattle	rumen	NA	High	yes	sp902803075
1290	GCA_958348325.1	2355561	82	46200	58.87272713	91.88	0.67	GCA_958348325.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114060848	PRJEB62838	NA	NA	Human	gut	NA	High	yes	sp000432135
1294	GCA_959604905.1	2022615	78	35462	59.27475076	91.61	0	GCA_959604905.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114122851	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp000432135
1295	GCA_934656025.1	2204398	180	18342	57.24193181	90.85	2.35	GCA_934656025.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SAMEA13499820	PRJEB49206	USA	North America	Human	gut	NA	High	yes	sp900549635
1298	GCA_937930795.1	2828304	245	17073	59.75231093	94.63	1.01	GCA_937930795.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA14085944	PRJEB51075	USA	North America	Human	gut	NA	High	yes	sp002404795
1302	GCA_037370845.1	2243029	41	92111	58.69665528	90.6	3.19	GCA_037370845.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN37829536	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp000436735
1305	GCA_959602525.1	3679702	76	79795	55.28765645	95.3	1.34	GCA_959602525.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114122578	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp900545925
1306	GCA_963655675.1	2706697	143	33837	60.19336483	93.29	1.12	GCA_963655675.1	2212467	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA114585032	PRJEB68160	Cote_d'Ivoire	Africa	Chimpanzee	gut	NA	High	yes	sp002404795
1311	GCA_958433415.1	2965123	89	60121	57.78839529	90.6	1.57	GCA_958433415.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMEA114065001	PRJEB63158	China	Asia	Human	gut	NA	High	yes	sp000432135
1315	GCA_934836415.1	2656561	222	19189	56.45902479	90.44	2.01	GCA_934836415.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566607	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1316	GCA_963603085.1	3047521	77	79588	55.87908992	92.62	1.01	GCA_963603085.1	2212467	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114584340	PRJEB68160	Cote_d'Ivoire	Africa	Chimpanzee	gut	NA	High	yes	sp900545925
1319	GCA_934645325.1	2318128	60	86259	59.33542065	92.95	2.01	GCA_934645325.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp902796245	SAMEA13494352	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp902796245
1321	GCA_958438275.1	2710459	216	18317	58.48566608	91.56	2.01	GCA_958438275.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA114060852	PRJEB62838	NA	NA	Human	gut	NA	High	yes	sp000436735
1323	GCA_959609015.1	2228339	74	53238	57.06600297	92	0.67	GCA_959609015.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA114122064	PRJEB63522	China	Asia	Human	gut	NA	High	yes	sp937967235
1324	GCA_958447925.1	3635890	50	153100	55.52976025	93.96	1.68	GCA_958447925.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114062677	PRJEB62692	China	Asia	Human	gut	NA	High	yes	sp900545925
1326	GCA_036832085.1	2148496	55	76746	59.10586809	94.57	1.34	GCA_036832085.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMN28751097	PRJNA843551	NA	NA	Human	gut	NA	High	yes	sp900548625
1328	GCA_934655825.1	1779479	182	15940	57.91498523	93.46	1.06	GCA_934655825.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA13502563	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp003516765
1329	GCA_029007455.1	2210922	133	24014	59.51403984	91.97	4.14	GCA_029007455.1	1879010	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN32798822	PRJNA857725	Canada	North America	Pig	gut	Lacombe	High	yes	sp000436735
1330	GCA_934643315.1	2553376	92	59465	58.32818982	95.97	1.34	GCA_934643315.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA13486114	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp900548625
1331	GCA_037249425.1	2295164	116	32017	56.58013981	90.5	0.67	GCA_037249425.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMN37825422	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp900545925
1333	GCA_934646185.1	2885953	79	71909	59.22428397	94.63	2.75	GCA_934646185.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp934646185	SAMEA13483382	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp934646185
1335	GCA_905201695.1	1879916	106	26435	57.67502378	90.46	0	GCA_905201695.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA7848190	PRJEB37358	Spain	Europe	Human	gut	NA	High	yes	sp003516765
1339	GCA_037240115.1	2401406	146	24633	61.01375611	94.19	1.91	GCA_037240115.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37825166	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1345	GCA_963631305.1	2692733	88	57390	56.13547039	95.3	1.68	GCA_963631305.1	216816	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA114581790	PRJEB68160	Denmark	Europe	Human	gut	NA	High	yes	sp003516765
1346	GCA_934630675.1	1990039	207	14709	59.75350232	95	2.01	GCA_934630675.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA13488857	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp900548625
1349	GCA_041329155.1	3003407	11	322940	55.26217392	93.96	1.34	GCA_041329155.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMN43071555	PRJNA1052403	China	Asia	Human	gut	Beijing	High	yes	sp937967235
1351	GCA_037297425.1	2250416	145	22192	61.4747229	92.85	0	GCA_037297425.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN37826705	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp002404795
1352	GCA_018369445.1	2130795	51	55182	57.01665341	94.63	1.34	GCA_018369445.1	1879010	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMN17800706	PRJNA698986	USA	North America	Human	gut	Pittsburgh_Magee-Womens_Hospital_of_UPMC	High	yes	sp937967235
1354	GCA_934842085.1	2947418	110	114035	55.84413646	93.96	2.01	GCA_934842085.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566464	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1355	GCA_958405105.1	3077894	136	39724	56.09686363	92.06	2.2	GCA_958405105.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114061081	PRJEB62838	NA	NA	Human	gut	NA	High	yes	sp900545925
1359	GCA_900753185.1	3191787	383	16251	56.23893449	90.72	1.72	GCA_900753185.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA5280173	PRJEB31003	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
1362	GCA_902465505.1	2390173	51	84291	58.68579387	95.97	1.34	GCA_902465505.1	344338	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SAMEA5850243	PRJEB33885	NA	NA	Human	gut	NA	High	yes	sp900548625
1363	GCA_958404015.1	2903945	103	54745	55.9601852	93.96	1.01	GCA_958404015.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA114064407	PRJEB62824	Sweden	Europe	Human	gut	NA	High	yes	sp900545925
1365	GCA_958352825.1	3220724	113	66683	57.29072097	92.95	2.01	GCA_958352825.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMEA114061973	PRJEB62825	China	Asia	Cattle	gut	NA	High	yes	sp000436735
1366	GCA_934621555.1	1857584	288	9173	57.80573045	90.52	1.01	GCA_934621555.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SAMEA13505306	PRJEB49206	Tanzania	Africa	Human	gut	NA	High	yes	sp003516765
1367	GCA_037326735.1	2240781	79	43308	58.74634781	93.29	1.34	GCA_037326735.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	SAMN37828008	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp000436735
1368	GCA_934841485.1	3123807	107	115494	55.79334508	93.96	2.68	GCA_934841485.1	77133	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA13566248	PRJEB50699	NA	NA	Human	gut	NA	High	yes	sp900545925
1369	GCA_900545925.1	3215858	82	73001	55.78162966	94.63	1.01	GCA_900545925.1	172733	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMEA4891479	PRJEB26432	NA	NA	Human	gut	NA	High	yes	sp900545925
1370	GCA_037377625.1	3039505	183	36127	55.95467025	92.83	0.67	GCA_037377625.1	1869227	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SAMN37829327	PRJNA947377	Germany	Europe	Human	gut	Essen	High	yes	sp900545925
1371	GCA_934646315.1	2254009	99	40774	61.45876081	93.59	0.67	GCA_934646315.1	707003	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMEA13488869	PRJEB49206	Nepal	Asia	Human	gut	NA	High	yes	sp002404795
1372	GCA_937967235.1	2969145	271	16005	55.91677065	94.23	2.01	GCA_937967235.1	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp937967235	SAMEA14083695	PRJEB51075	China	Asia	Human	gut	NA	High	yes	sp937967235
1376	GCA_036549755.1	3171767	145	50559	57.72391225	94.63	1.01	GCA_036549755.1	2485925	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SAMN38021969	PRJNA964705	USA	North America	Human	gut	Marshfield_WI	High	yes	sp000432135
1380	GCA_004556885.1	2396985	110	32437	61.54035173	97.32	1.82	GCA_004556885.1	1898207	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SAMN10183744	PRJNA494875	Canada	North America	Wild boar	gut	Edmonton	High	yes	sp002404795
